burst_id,subburst,TOA / MJD,A,error A,d / (ms/MHz),error d  / (ms/MHz),t_0 / s,error t_0 / s,sig_t / ms,error sig_t / ms,nu_0 / MHz,error nu_0 / MHz,sig_nu / MHz,error sig_nu / MHz,Scaled Energy / erg,TOA_1D / MJD,A_1D,error A_1D,"t_0,1D / s","error t_0,1D / s","sig_t,1D / ms","error sig_t,1D / ms","nu_0,1D / MHz","error nu_0,1D / MHz","sig_nu,1D / MHz","error sig_nu,1D / MHz",Class,Diffuse/Tail,Affected by dropouts,Fluence / Jy ms,Downsampling,t_fit / ms
A1,sb1,58409.356497281595,0.637493809904415,0.2953613613634873,-0.004753173794370653,0.0033798045467686626,548.9639911003322,0.00042703286646733927,0.6560690706064105,0.3044442690693894,1430.2295808189351,63.00970826893782,131.52080473471267,64.64641844143739,2.2489165504842887e+38,58409.35649728104,4.543730278669749,0.27463167609410444,548.9639428413234,6.365656679574025e-05,0.9121778483637608,0.06365656679682977,1428.671308111581,6.701914734009852,122.38776864065484,6.808041465597868,default,False,False,0.14115985065607847,8.0,5.0
A2,sb1,58409.364395620105,0.5615164829342981,0.3794574943043189,-0.005331124433797907,0.00815804050037394,1231.3233941030605,0.001111688806051729,0.630928557828515,0.44057089585670156,1700.4550300023916,184.95677036254412,106.60735052414704,151.28420755831874,1.2950548439948353e+38,58409.3643956236,2.7640686013613482,0.28563229731587775,1231.3236962014016,8.967608817162445e-05,0.7515477027206363,0.08967608817162459,1688.2506054280325,14.04988299443579,90.25479770318937,13.136931418683824,default,False,False,0.07088155277632821,8.0,5.0
A3,sb1,58409.370809745145,0.1544367534657969,0.3136536197262265,-0.0044069900136483285,0.010335922484459728,1785.457507755372,0.002116179233429607,0.5228909192391977,1.040780716082193,1576.5903704927784,415.6244129497997,162.3733748586116,470.35371074165954,7.848187296169006e+37,58409.370809750755,0.9563382263446821,0.268418094044371,1785.457992641859,0.0003943520845467299,1.217156161408564,0.3943545669320876,1971.9474008421328,964.0565790299626,369.0033635652614,408.5452674755513,default,False,,0.043163016662817966,8.0,5.0
A4,sb1,58409.37080990139,0.1734790187295077,0.28107392548566584,0.012489747176465026,0.046488758472424445,1785.4710060500286,0.0037730730046439676,1.2643566824342134,2.124676575564752,1687.0443442136766,243.94686738993988,82.18302906357837,234.862565505877,8.177384448513087e+37,58409.370809903514,1.0971162653859603,0.20614056035408457,1785.4711895950797,0.0003348619708755071,1.5431441527231853,0.33504109572485785,2236.8055583361784,2297.288777105619,477.23579775937316,774.1662100724876,default,False,False,0.04645131519765721,8.0,5.0
A5,sb1,58409.37655445515,0.6258698648666327,0.8014581610706574,-0.0007207653046898975,0.008955273532316418,2281.759018368358,0.0010140280427988427,0.635353222123516,0.6797202415162453,1741.400239437333,548.3211048917517,146.30585608734523,344.47309709578366,2.812764948835241e+36,58409.37655445675,3.9857239514847436,0.3332551351267754,2281.759156915152,7.249616394042563e-05,0.6365429668367704,0.07504259194633414,1762.927643585151,51.751408211094166,157.78719368775498,29.433273103190544,multi,False,False,0.4578352007667113,8.0,5.0
A5,sb2,58409.37655448527,0.5375781655664075,1.0232886154470826,-0.0008495634800081355,0.009719384827682588,2281.7616211721393,0.0017750870350563314,0.8638042825039518,1.2042489802201106,1778.0555096244414,961.1767396840079,199.9080659282675,520.1624449135709,4.488071273635426e+36,58409.37655448681,3.8234405580408923,0.32015244321125175,2281.761753316339,9.105984616553685e-05,0.8089225317980332,0.12689375004696263,1863.0278284505835,127.76347207115684,228.94063443551386,55.278342531896975,multi,False,False,0.4578352007667113,8.0,5.0
A5,sb3,58409.376554486415,82.55223757248538,15581.041669142467,-0.0015986493992642084,0.007648241327837005,2281.761719855927,0.08461988894052555,0.46571808864302033,0.6361644321683965,3061.446027354729,52501.62016904471,435.9737938274806,7971.97476849851,8.103726858799413e+38,58409.37655451157,3.421979225176433,0.3815373500031775,2281.7638925932993,8.237370811687439e-05,0.5013138809850521,0.08360972560295432,6293.850837310824,,803.7779083069729,,multi,False,False,0.4578352007667113,8.0,5.0
A5,sb4,58409.37655453782,1.0622179162677556,1.605379966440771,-0.004507331860389564,0.0036936125266809868,2281.7661609022507,0.0038901689488750005,0.7579050956510118,0.35336852341702646,1827.7703399679529,844.5198175896901,249.84531742896692,411.3660834162989,9.724608306816291e+36,58409.376554548806,6.068322592676955,0.2649523874433339,2281.7671098761057,5.1661304666989525e-05,1.0203579027954224,0.05395282487935435,1741.367953863901,37.70074640143881,214.91222732165753,23.30394378820435,multi,False,False,0.4578352007667113,8.0,5.0
B6,sb1,58432.26460804219,0.13647081322444007,0.40349687522866107,0.007355790375371169,0.06761928595465858,13.781160086637449,0.011449302787004602,1.7069629384136633,5.055622407568637,1187.3137508338614,1318.6741881583641,147.95449366234433,959.8152707634046,1.2123489671762058e+38,58432.264608041325,1.165618074959156,,13.781085500659689,,1.1452196770242222,,1059.0837435582334,307.97665506321863,227.25978417390897,142.27812838126667,multi,False,False,0.6717199890071154,8.0,5.0
B6,sb2,58432.26460810212,0.17994886914814076,0.571418761468454,0.0015373213618119993,0.014511334761952767,13.786338340063653,0.002134080878043026,0.5580346716364045,1.907159803499383,1317.0748883199242,763.6851755960294,182.7281664266705,804.5724468112155,6.454333720315229e+37,58432.26460810351,2.58817697399457,,13.786458525990675,,0.767854427058443,,1309.6810351599388,16.19242185148668,157.16136792529355,18.00809689133674,multi,False,False,0.6717199890071154,8.0,5.0
